TAXON_ORDER,ENAME,CNAME
11376,Eurasian Kestrel,紅隼
11437,Amur Falcon,紅腳隼
11441,Merlin,灰背隼
11452,Eurasian Hobby,燕隼
11487,Peregrine Falcon,遊隼
11564,Tanimbar Corella,戈芬氏鳳頭鸚鵡
11573,Sulphur-crested Cockatoo,葵花鳳頭鸚鵡
11581,White Cockatoo,白鳳頭鸚鵡
11583,Cockatiel,雞尾鸚鵡
11708,Alexandrine Parakeet,亞歷山大鸚鵡
11715,Rose-ringed Parakeet,紅領綠鸚鵡
11917,Budgerigar,虎皮鸚鵡
12009,Red Lory,紅色吸蜜鸚鵡
12100,Fischer's Lovebird,費氏愛情鳥
12107,Gray Parrot,灰鸚鵡
12166,Monk Parakeet,和尚鸚鵡
12705,Blue-winged Pitta,藍翅八色鳥
12706,Fairy Pitta,八色鳥
12707,Hooded Pitta,綠胸八色鳥
17761,Gray-chinned Minivet,灰喉山椒鳥
17779,Long-tailed Minivet,長尾山椒鳥
17787,Scarlet Minivet,赤紅山椒鳥
17811,Ryukyu Minivet,琉球山椒鳥
17812,Ashy Minivet,灰山椒鳥
17814,Brown-rumped Minivet,小灰山椒鳥
17816,Rosy Minivet,粉紅山椒鳥
17893,Large Cuckooshrike,花翅山椒鳥
18006,Pied Triller,黑原鵑鵙
18013,Black-winged Cuckooshrike,黑翅山椒鳥
18203,White-bellied Erpornis,綠畫眉
18760,Black-naped Oriole,黃鸝
18821,Maroon Oriole,朱鸝
18855,White-breasted Woodswallow,白胸燕鵙
19538,Black Drongo,大卷尾
19546,Ashy Drongo,灰卷尾
19571,Crow-billed Drongo,鴉嘴卷尾
19572,Bronzed Drongo,小卷尾
19581,Hair-crested Drongo,髮冠卷尾
19778,Black-naped Monarch,黑枕藍鶲
19812,Japanese Paradise-Flycatcher,紫綬帶
19816,Amur Paradise-Flycatcher,阿穆爾綬帶
20111,Tiger Shrike,虎紋伯勞
20112,Bull-headed Shrike,紅頭伯勞
20115,Red-backed Shrike,紅背伯勞
20124,Brown Shrike,紅尾伯勞
20131,Burmese Shrike,栗背伯勞
20138,Long-tailed Shrike,棕背伯勞
20198,Chinese Gray Shrike,楔尾伯勞
20422,Eurasian Jay,松鴉
20474,Azure-winged Magpie,灰喜鵲
20485,Taiwan Blue-Magpie,台灣藍鵲
20491,Red-billed Blue-Magpie,紅嘴藍鵲
20527,Gray Treepie,樹鵲
20548,Oriental Magpie,喜鵲
20549,Eurasian Magpie,西方喜鵲
20567,Eurasian Nutcracker,星鴉
20600,Daurian Jackdaw,東方寒鴉
20601,House Crow,家烏鴉
20635,Rook,禿鼻鴉
20656,Carrion Crow,小嘴烏鴉
20667,Large-billed Crow,巨嘴鴉
20696,Collared Crow,玉頸鴉
20994,Gray-headed Canary-Flycatcher,方尾鶲
21019,Coal Tit,煤山雀
21051,Yellow-bellied Tit,黃腹山雀
21075,Chestnut-bellied Tit,赤腹山雀
21077,Varied Tit,雜色山雀
21235,Green-backed Tit,青背山雀
21271,Japanese Tit,白頰山雀
21284,Taiwan Yellow Tit,黃山雀
21347,Chinese Penduline-Tit,攀雀
21691,Greater Short-toed Lark,大短趾百靈
21699,Sykes's Short-toed Lark,賽氏短趾百靈
21728,Asian Short-toed Lark,亞洲短趾百靈
21778,Eurasian Skylark,歐亞雲雀
21795,Oriental Skylark,小雲雀
22237,Striated Prinia,斑紋鷦鶯
22296,Yellow-bellied Prinia,灰頭鷦鶯
22322,Plain Prinia,褐頭鷦鶯
22558,Zitting Cisticola,棕扇尾鶯
22627,Golden-headed Cisticola,黃頭扇尾鶯
22654,Thick-billed Warbler,厚嘴葦鶯
22657,Booted Warbler,靴籬鶯
22681,Black-browed Reed Warbler,雙眉葦鶯
22682,Streaked Reed Warbler,細紋葦鶯
22688,Paddyfield Warbler,稻田葦鶯
22689,Blunt-winged Warbler,鈍翅葦鶯
22693,Manchurian Reed Warbler,遠東葦鶯
22694,Blyth's Reed Warbler,布氏葦鶯
22736,Oriental Reed Warbler,東方大葦鶯
22909,Gray's Grasshopper-Warbler,蒼眉蝗鶯
22910,Sakhalin Grasshopper-Warbler,庫頁島蝗鶯
22915,Pallas's Grasshopper-Warbler,小蝗鶯
22920,Middendorff's Grasshopper-Warbler,北蝗鶯
22923,Pleske's Grasshopper-Warbler,史氏蝗鶯
22925,Lanceolated Warbler,矛斑蝗鶯
22960,Taiwan Bush Warbler,台灣叢樹鶯
22962,Russet Bush Warbler,赤褐蝗鶯
23002,Taiwan Cupwing,台灣鷦眉
23101,Gray-throated Martin,棕沙燕
23105,Bank Swallow,灰沙燕
23112,Pale Sand Martin,淺灰沙燕
23153,Barn Swallow,家燕
23181,Pacific Swallow,洋燕
23199,Red-rumped Swallow,金腰燕
23212,Striated Swallow,赤腰燕
23269,Common House-Martin,白腹毛腳燕
